term;n;tag
analisi;69;1
analizza;0;1
analizzare;7;1
approccio;4;1
attitudine;5;1
attività;9;1
capacità;29;1
competenze;7;1
conoscenza;144;1
controlla;0;1
controllo;5;1
coordinamento;6;1
creare;4;1
esperienza;27;1
formazione;6;1
gestisce;0;1
gestire;0;1
gestione;22;1
gestisce;0;1
monitorare;0;1
monitoraggio;58;1
pianifica;0;1
pianificare;6;1
pianificazione;28;1
progetta;0;1
progettazione;7;1
redarre;0;1
redazione;4;1
supporta;0;1
supportare;8;1
supporto;11;1
sviluppa;0;1
sviluppare;0;1
sviluppo;4349;1
utilizza;0;1
utilizzo;3360;1
applicazione;3055;1
fornisce;0;1
fornire;2895;1
esegue;0;1
esecuzione;2661;1
garantisce;0;1
garantire;1584;1
mantiene;0;1
mantenere;1574;1
valuta;0;1
valutazione;932;1
supervisiona;0;1
supervisione;932;1
supervisionare;0;1
risoluzione;0;1
reporting;0;1
verifica;0;1
verificare;0;1
controlla;0;1
controllo;0;1
controllare;0;1
esegue;0;1
eseguire;0;1
stima;0;1
stimare;0;1
realizzare;0;1
realizzazione;0;1
realizza;0;1
interafacciarsi;0;1
interfaccia;0;1
verificare;0;1
verifica;0;1
aggiorna;0;1
aggiornare;0;1
sovraintendere;0;1
sovraintende;0;1
effettuare;0;1
effettua;0;1
